Timestamp,mean_temp_cor,year,month,day,timestep
2001-08-15,20.700000762939453,2001,8,15,226
2001-08-16,21.80000114440918,2001,8,16,227
2001-08-17,24.100000381469727,2001,8,17,228
2001-08-18,19.600000381469727,2001,8,18,229
2001-08-19,17.899999618530273,2001,8,19,230
2001-08-20,21.399999618530273,2001,8,20,231
2001-08-21,20.0,2001,8,21,232
2001-08-22,18.200000762939453,2001,8,22,233
2001-08-23,17.100000381469727,2001,8,23,234
2001-08-24,17.5,2001,8,24,235
2001-08-25,16.80000114440918,2001,8,25,236
2001-08-26,16.100000381469727,2001,8,26,237
2001-08-27,17.0,2001,8,27,238
2001-08-28,15.0,2001,8,28,239
2001-08-29,14.5,2001,8,29,240
2001-08-30,15.0,2001,8,30,241
2001-08-31,13.90000057220459,2001,8,31,242
2001-09-01,13.0,2001,9,1,243
2001-09-02,14.300000190734863,2001,9,2,244
2001-09-03,14.5,2001,9,3,245
2001-09-04,13.600000381469727,2001,9,4,246
2001-09-05,15.600000381469727,2001,9,5,247
2001-09-06,14.90000057220459,2001,9,6,248
2001-09-07,13.40000057220459,2001,9,7,249
2001-09-08,13.300000190734863,2001,9,8,250
2001-09-09,11.40000057220459,2001,9,9,251
2001-09-10,9.699999809265137,2001,9,10,252
2001-09-11,11.800000190734863,2001,9,11,253
2001-09-12,12.90000057220459,2001,9,12,254
2001-09-13,12.699999809265137,2001,9,13,255
2001-09-14,12.600000381469727,2001,9,14,256
2001-09-15,13.40000057220459,2001,9,15,257
2001-09-16,13.5,2001,9,16,258
2001-09-17,16.600000381469727,2001,9,17,259
2001-09-18,16.80000114440918,2001,9,18,260
2001-09-19,18.0,2001,9,19,261
2001-09-20,13.800000190734863,2001,9,20,262
2001-09-21,14.100000381469727,2001,9,21,263
2001-09-22,15.40000057220459,2001,9,22,264
2001-09-23,13.0,2001,9,23,265
2001-09-24,10.0,2001,9,24,266
2001-09-25,6.200000286102295,2001,9,25,267
2001-09-26,6.700000286102295,2001,9,26,268
2001-09-27,9.0,2001,9,27,269
